# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Feb 16 10:39:16 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.000000000e-01 2.25266e-03 9.99999e-01 9.99999e-01 6.91883e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.25584e-01 9.99999e-01
3.003000000e-01 2.69747e-03 9.99999e-01 9.99999e-01 8.24800e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.27045e-01 9.99999e-01
3.006003000e-01 3.18688e-03 9.99999e-01 9.99999e-01 9.70111e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.28507e-01 9.99999e-01
3.009009003e-01 3.94451e-03 9.99998e-01 9.99999e-01 1.19542e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.29969e-01 9.99999e-01
3.012018012e-01 5.19668e-03 9.99999e-01 9.99999e-01 1.56794e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.31432e-01 9.99999e-01
3.015030030e-01 6.21118e-03 9.99998e-01 9.99999e-01 1.86580e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.32896e-01 9.99999e-01
3.018045060e-01 6.97658e-03 9.99998e-01 9.99999e-01 2.08654e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.34360e-01 9.99999e-01
3.021063105e-01 7.70843e-03 9.99998e-01 9.99999e-01 2.29537e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.35825e-01 9.99999e-01
3.024084168e-01 9.04327e-03 9.99998e-01 9.99999e-01 2.68115e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.37290e-01 9.99999e-01
3.027108252e-01 1.11034e-02 9.99999e-01 9.99999e-01 3.27770e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.38756e-01 9.99999e-01
3.030135361e-01 1.37018e-02 9.99999e-01 9.99999e-01 4.02732e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.40222e-01 9.99999e-01
3.033165496e-01 1.57942e-02 9.99999e-01 9.99999e-01 4.62239e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.41689e-01 9.99999e-01
3.036198661e-01 1.74204e-02 9.99999e-01 9.99999e-01 5.07650e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.43156e-01 9.99999e-01
