# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Feb 16 10:29:03 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.000000000e-01 4.62099e-02 9.99999e-01 9.99999e-01 8.11533e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.69415e-01 9.99999e-01
3.003000000e-01 5.06115e-02 9.99999e-01 9.99999e-01 8.86836e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.70697e-01 9.99999e-01
3.006003000e-01 5.50562e-02 9.99999e-01 9.99999e-01 9.62561e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.71975e-01 9.99999e-01
3.009009003e-01 6.13161e-02 9.99998e-01 9.99999e-01 1.06962e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.73252e-01 9.99999e-01
3.012018012e-01 7.04740e-02 9.99998e-01 9.99999e-01 1.22665e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.74526e-01 9.99999e-01
3.015030030e-01 7.71144e-02 9.99997e-01 9.99999e-01 1.33926e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.75798e-01 9.99999e-01
3.018045060e-01 8.17737e-02 9.99998e-01 9.99999e-01 1.41706e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.77067e-01 9.99999e-01
3.021063105e-01 8.59976e-02 9.99998e-01 9.99999e-01 1.48699e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.78335e-01 9.99999e-01
3.024084168e-01 9.32177e-02 9.99998e-01 9.99999e-01 1.60831e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.79600e-01 9.99999e-01
3.027108252e-01 1.03396e-01 9.99998e-01 9.99999e-01 1.78004e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.80862e-01 9.99999e-01
3.030135361e-01 1.14976e-01 9.99998e-01 9.99999e-01 1.97512e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.82123e-01 9.99999e-01
3.033165496e-01 1.23529e-01 9.99999e-01 9.99999e-01 2.11747e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.83381e-01 9.99999e-01
3.036198661e-01 1.29793e-01 9.99999e-01 9.99999e-01 2.22007e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.84637e-01 9.99999e-01
3.039234860e-01 1.33226e-01 9.99999e-01 9.99999e-01 2.27390e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.85890e-01 9.99999e-01
3.042274095e-01 1.38905e-01 9.99999e-01 9.99999e-01 2.36578e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.87141e-01 9.99999e-01
3.045316369e-01 1.49742e-01 9.99999e-01 9.99999e-01 2.54493e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.88390e-01 9.99999e-01
3.048361685e-01 1.63440e-01 9.99999e-01 9.99999e-01 2.77187e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.89636e-01 9.99999e-01
3.051410047e-01 1.78393e-01 9.99999e-01 9.99999e-01 3.01910e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.90880e-01 9.99999e-01
3.054461457e-01 1.90126e-01 9.99999e-01 9.99999e-01 3.21092e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.92122e-01 9.99999e-01
3.057515919e-01 1.93827e-01 9.99999e-01 9.99999e-01 3.26659e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.93362e-01 9.99999e-01
3.060573435e-01 1.99429e-01 9.99999e-01 9.99999e-01 3.35401e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.94599e-01 9.99999e-01
3.063634008e-01 2.02178e-01 9.99999e-01 9.99999e-01 3.39320e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.95833e-01 9.99999e-01
3.066697642e-01 2.15097e-01 9.99999e-01 9.99999e-01 3.60256e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.97066e-01 9.99999e-01
3.069764340e-01 2.28659e-01 9.99999e-01 9.99999e-01 3.82183e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.98295e-01 9.99999e-01
3.072834104e-01 2.47527e-01 9.99999e-01 9.99999e-01 4.12873e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.99523e-01 9.99999e-01
3.075906938e-01 2.61042e-01 9.99999e-01 9.99999e-01 4.34528e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.00748e-01 9.99999e-01
3.078982845e-01 2.65162e-01 9.99999e-01 9.99999e-01 4.40490e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.01971e-01 9.99999e-01
3.082061828e-01 2.66425e-01 9.99999e-01 9.99999e-01 4.41692e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.03191e-01 9.99999e-01
3.085143890e-01 2.78878e-01 9.99999e-01 9.99999e-01 4.61405e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.04409e-01 9.99999e-01
3.088229034e-01 2.81486e-01 9.99999e-01 9.99999e-01 4.64786e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.05624e-01 9.99999e-01
3.091317263e-01 2.90506e-01 9.99999e-01 9.99999e-01 4.78722e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.06837e-01 9.99999e-01
3.094408580e-01 3.08922e-01 9.99999e-01 9.99999e-01 5.08054e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.08048e-01 9.99999e-01
3.097502988e-01 3.31150e-01 9.99999e-01 9.99999e-01 5.43532e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.09256e-01 9.99999e-01
3.100600491e-01 3.36063e-01 9.99999e-01 9.99999e-01 5.50506e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.10462e-01 9.99999e-01
3.103701092e-01 3.36277e-01 9.99998e-01 9.99999e-01 5.49774e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.11665e-01 9.99999e-01
3.106804793e-01 3.47512e-01 9.99997e-01 9.99999e-01 5.67027e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.12866e-01 9.99999e-01
3.109911598e-01 3.55340e-01 9.99998e-01 9.99999e-01 5.78669e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.14065e-01 9.99999e-01
3.113021509e-01 3.57962e-01 9.99998e-01 9.99999e-01 5.81805e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.15261e-01 9.99999e-01
3.116134531e-01 3.63019e-01 9.99998e-01 9.99999e-01 5.88883e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.16454e-01 9.99999e-01
3.119250665e-01 3.82919e-01 9.99998e-01 9.99999e-01 6.19967e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.17645e-01 9.99999e-01
3.122369916e-01 3.96246e-01 9.99998e-01 9.99999e-01 6.40310e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.18834e-01 9.99999e-01
3.125492286e-01 4.07233e-01 9.99994e-01 9.99999e-01 6.56810e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.20020e-01 9.99999e-01
3.128617778e-01 4.16674e-01 9.99995e-01 9.99999e-01 6.70755e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.21204e-01 9.99999e-01
3.131746396e-01 4.20414e-01 9.99993e-01 9.99999e-01 6.75493e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.22385e-01 9.99999e-01
3.134878143e-01 4.11558e-01 9.99995e-01 9.99999e-01 6.60012e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.23563e-01 9.99999e-01
3.138013021e-01 4.18154e-01 9.99995e-01 9.99999e-01 6.69326e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.24740e-01 9.99999e-01
3.141151034e-01 4.36992e-01 9.99994e-01 9.99999e-01 6.98170e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.25913e-01 9.99999e-01
3.144292185e-01 4.58096e-01 9.99995e-01 9.99999e-01 7.30520e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.27085e-01 9.99999e-01
3.147436477e-01 4.69926e-01 9.99996e-01 9.99999e-01 7.47989e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.28253e-01 9.99999e-01
3.150583913e-01 4.71789e-01 9.99998e-01 9.99999e-01 7.49563e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.29420e-01 9.99999e-01
3.153734497e-01 4.67627e-01 9.99998e-01 9.99999e-01 7.41579e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.30583e-01 9.99999e-01
3.156888232e-01 4.57538e-01 9.99998e-01 9.99999e-01 7.24245e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.31745e-01 9.99999e-01
3.160045120e-01 4.80670e-01 9.99999e-01 9.99999e-01 7.59468e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.32903e-01 9.99999e-01
3.163205165e-01 4.95183e-01 9.99999e-01 9.99999e-01 7.80972e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.34060e-01 9.99999e-01
3.166368370e-01 5.08701e-01 9.99999e-01 9.99999e-01 8.00835e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.35213e-01 9.99999e-01
3.169534739e-01 5.10798e-01 9.99999e-01 9.99999e-01 8.02681e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.36364e-01 9.99999e-01
3.172704273e-01 5.06223e-01 9.99999e-01 9.99999e-01 7.94058e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.37513e-01 9.99999e-01
