# SPECTRE mid-IR dichroic dummy data, see Issue #73.
# Wavelength | efficiency.
1.000  |  0.000000
2.000  |  0.000000
2.200  |  0.878277
2.216  |  0.897004
2.228  |  0.528090
2.239  |  0.951311
2.306  |  0.973783
2.323  |  0.803371
2.329  |  0.992509
2.379  |  0.998127
2.402  |  0.964419
2.413  |  0.998127
2.720  |  0.998127
3.085  |  0.998127
3.102  |  0.988764
3.122  |  0.998127
3.240  |  0.998127
3.271  |  0.986891
3.307  |  0.996255
3.659  |  0.998127
3.693  |  0.981273
3.738  |  0.996255
3.996  |  0.994382
4.058  |  0.985019
4.185  |  0.981273
4.247  |  0.943820
4.300  |  0.771536
4.337  |  0.340824
4.359  |  0.009363
4.396  |  0.028090
4.435  |  0.005618
4.489  |  0.020599
4.545  |  0.011236
4.610  |  0.020599
4.685  |  0.007491
4.753  |  0.013109
4.837  |  0.005618
4.933  |  0.011236
4.998  |  0.003745
5.000  |  0.000000
6.000  |  0.000000
