# SPECTRE NIR dichroic dummy data, see Issue #74.
# Wavelength | efficiency.

0.600  |    0.000
0.700  |    0.000

# This section here is derived from th OAR reflectance curve, and is what we
# want. However, this is the full wavelength range, the transition regions 
# are handled separately.
0.791  |   70.0551
0.833  |   99.7794
0.883  |  100.0000
0.929  |   99.8346
0.945  |   98.1801
0.962  |   99.6691
0.983  |   99.7794
1.004  |   98.9522
1.033  |  100.0551
1.054  |   97.5184
1.066  |  100.0000
1.104  |  100.0000
1.129  |   97.9044
1.162  |  100.0000
1.204  |  100.0000
1.241  |   99.8346
1.312  |  100.0000
1.337  |   98.5110
1.358  |  100.0000
1.387  |  100.0000
1.412  |   98.6213
1.433  |  100.0000
1.466  |   99.2831
1.491  |  100.0000
1.620  |  100.0000
1.654  |   98.0147
1.687  |  100.0000
1.720  |  100.0000
1.741  |   99.1728
1.791  |   99.9449
2.166  |  100.0000
2.237  |   99.8897
2.275  |   99.2831
2.304  |   96.3051
# 2.316  |   92.1691
# 2.333  |   81.6360
# 2.341  |   70.0000


# Transition region between NIR and MID.
# 2.100   |   99.8182
# 2.215   |  100.0000
# 2.260   |   99.6364
# 2.293   |   98.0000
2.309   |   94.7273
2.319   |   90.3636
2.337   |   77.2727
2.349   |   61.4545
2.364   |   51.2727
2.373   |   49.4545
2.392   |   50.7273
2.406   |   50.1818
2.424   |   45.4545
2.440   |   35.4545
2.456   |   15.2727
2.471   |    3.6364
# 2.480   |    2.0000
# 2.517   |    3.6364
# 2.558   |    2.5455
# 2.610   |    2.0000
# 2.699   |    0.7273


# This section here is derived from the OAT transmission curve of the optic.
# As we want the reflectance of this optic, these values are 1 - OAT.
# 2.445  |  29.945
2.487  |   1.820
2.525  |   3.364
2.570  |   2.261
2.620  |   1.765
2.704  |   0.441
2.804  |   1.875
2.937  |   0.386
3.070  |   1.654
3.220  |   0.552
3.395  |   1.379
3.600  |   0.386
3.820  |   1.213
4.104  |   0.552
4.279  |   1.599
4.366  |   4.081
4.433  |   7.721
4.504  |  14.338
4.566  |  22.665
4.616  |  30.000
4.700  |   0.000
5.000  |   0.000
