# SPECTRE dichroic visible dummy data, see Issue #75.
# Wavelength | efficiency.

# Full wavelength region of the dichroic, part 1/2. See the transition region.
0.200   |     0.0000
0.250   |     0.0000
0.300   |     0.1972
0.308   |    77.5148
0.340   |    93.4911
0.371   |    97.4359
0.415   |   100.0000
0.545   |   100.0000

# Visible to NIR transition region.
0.600  |  100.0000
0.699  |  100.0000
0.701  |   99.6047
0.704  |  100.0000
0.712  |  100.0000
0.718  |   99.0119
0.724  |  100.0000
0.741  |  100.0000
0.747  |   99.4071
0.760  |  100.0000
0.770  |   99.4071
0.783  |  100.0000
0.795  |   99.2095
0.814  |   99.6047
0.818  |   98.6166
0.820  |   96.2451
0.823  |   84.9802
0.825  |   76.8775
0.828  |   77.0751
0.830  |   79.4466
0.831  |   80.8300
0.834  |   79.0514
0.836  |   75.0988
0.838  |   66.0079
0.841  |   62.0553
0.844  |   60.8696
0.848  |   48.8142
0.851  |   51.3834
0.853  |   53.7549
0.856  |   49.0119
0.859  |   39.3281
0.861  |   27.0751
0.863  |   20.9486
0.866  |   17.7866
0.870  |   22.1344
0.873  |   23.3202
0.875  |   22.7273
0.880  |   14.4269
0.884  |    6.1265
0.890  |    3.7549
0.896  |    4.3478
0.904  |    3.3597
0.915  |    4.5455
0.924  |    3.5573
0.934  |    4.9407
0.945  |    3.7549
0.956  |    4.5455
0.969  |    3.5573
0.981  |    4.3478
# 1.000  |    3.7549


# Full wavelength region of the dichroic, part 2/2. See the transition region.
# 0.817   |   100.0000
# 0.906   |     3.7475
1.075   |     4.1420
1.169   |     4.3393
1.383   |     4.5365
1.623   |     4.1420
1.877   |     3.5503
2.279   |     3.3531
2.680   |     2.9586
2.898   |     3.1558
3.068   |     2.7613
3.179   |     2.3669
3.304   |     2.7613
3.491   |     1.9724
3.634   |     2.5641
3.816   |     1.7751
4.053   |     2.1696
4.191   |     0.9862
4.280   |     2.7613
4.329   |     7.2978
4.369   |    12.426
4.427   |    22.0907
4.503   |    34.9112
4.601   |    50.4931
4.695   |    60.355
4.802   |    66.075
4.935   |    68.2446
5.011   |    67.8501
6.000   |     0.0000
6.500   |     0.0000
