# SPECTRE mid-IR fold mirror dummy data, see Issue #76.
# Wavelength | efficiency.

1.000  |     0.0000
1.500  |     0.0000
1.800  |   100.0000
1.900  |   100.0000
2.000  |    99.6324
2.024  |    99.8162
2.038  |    83.2721
2.060  |   100.0000
2.090  |   100.0000
2.106  |    92.4632
2.115  |   100.0000
2.134  |    99.8162
2.148  |    74.6324
2.170  |   100.0000
2.213  |   100.0000
2.224  |    54.2279
2.238  |    99.8162
2.282  |   100.0000
2.298  |    70.7721
2.307  |    95.5882
2.320  |    76.6544
2.331  |    99.6324
2.389  |    99.8162
2.400  |    98.7132
2.414  |    99.8162
2.762  |    99.8162
2.954  |   100.0000
2.965  |    98.8971
2.981  |   100.0000
3.091  |    99.8162
3.102  |    98.8971
3.127  |    99.8162
3.338  |    99.8162
3.354  |    98.8971
3.360  |    99.8162
3.672  |    99.6324
3.683  |    99.0809
3.702  |    99.6324
4.158  |    99.8162
4.223  |    98.8971
4.254  |    95.9559
4.276  |    90.8088
4.281  |    82.1691
4.297  |    65.2574
4.308  |    41.7279
4.319  |    22.2426
4.339  |     3.6765
4.352  |     0.3676
5.000  |     0.0000
6.000  |     0.0000
