# SPECTRE near-IR fold mirror dummy data, see Issue #77.
# Wavelength | efficiency.
0.350  |  0.999
0.401  |  0.999
0.452  |  0.999
0.503  |  0.999
0.554  |  0.999
0.605  |  0.999
0.656  |  0.999
0.707  |  0.999
0.758  |  0.999
0.809  |  0.999
0.860  |  0.999
0.911  |  0.999
0.962  |  0.999
1.013  |  0.999
1.064  |  0.999
1.115  |  0.999
1.166  |  0.999
1.217  |  0.999
1.268  |  0.999
1.319  |  0.999
1.370  |  0.999
1.421  |  0.999
1.472  |  0.999
1.523  |  0.999
1.574  |  0.999
1.625  |  0.999
1.676  |  0.999
1.727  |  0.999
1.778  |  0.999
1.829  |  0.999
1.880  |  0.999
1.931  |  0.999
1.982  |  0.999
2.033  |  0.999
2.084  |  0.999
2.135  |  0.999
2.186  |  0.999
2.237  |  0.999
2.288  |  0.999
2.339  |  0.999
2.390  |  0.999
2.441  |  0.999
2.492  |  0.999
2.543  |  0.999
2.594  |  0.999
2.645  |  0.999
2.696  |  0.999
2.747  |  0.999
2.798  |  0.999
2.849  |  0.999
2.900  |  0.999
2.951  |  0.999
3.002  |  0.999
3.053  |  0.999
3.104  |  0.999
3.155  |  0.999
3.206  |  0.999
3.257  |  0.999
3.308  |  0.999
3.359  |  0.999
3.410  |  0.999
3.461  |  0.999
3.512  |  0.999
3.563  |  0.999
3.614  |  0.999
3.665  |  0.999
3.716  |  0.999
3.767  |  0.999
3.818  |  0.999
3.869  |  0.999
3.920  |  0.999
3.971  |  0.999
4.022  |  0.999
4.073  |  0.999
4.124  |  0.999
4.175  |  0.999
4.226  |  0.999
4.277  |  0.999
4.328  |  0.999
4.379  |  0.999
4.430  |  0.999
4.481  |  0.999
4.532  |  0.999
4.583  |  0.999
4.634  |  0.999
4.685  |  0.999
4.736  |  0.999
4.787  |  0.999
4.838  |  0.999
4.889  |  0.999
4.940  |  0.999
4.991  |  0.999
5.042  |  0.999
5.093  |  0.999
5.144  |  0.999
5.195  |  0.999
5.246  |  0.999
5.297  |  0.999
5.348  |  0.999
5.400  |  0.999
