# SPECTRE bk7 no. 1 prism  dummy data, see Issue #82.
# Wavelength | efficiency.

0.250  |   0.0000
0.300  |   0.0000
0.315  |   1.1407
0.318  |   3.2319
0.321  |   6.4639
0.325  |  14.2586
0.327  |  24.1445
0.329  |  33.4601
0.332  |  35.7414
0.334  |  30.6084
0.337  |  20.3422
0.341  |  13.1179
0.350  |  10.6464
0.359  |  14.2586
0.363  |  18.0608
0.369  |  25.8555
0.371  |  34.7909
0.375  |  50.9506
0.379  |  64.6388
0.382  |  79.6578
0.384  |  91.8251
0.389  |  98.6692
0.398  |  98.8593
0.407  |  97.9087
0.422  |  99.0494
0.431  |  98.4791
0.448  |  98.0989
0.470  |  99.0494
0.492  |  98.2890
0.512  |  98.2890
0.528  |  98.8593
0.555  |  98.6692
0.576  |  98.4791
0.591  |  98.4791
0.613  |  98.8593
0.666  |  98.8593
0.697  |  98.2890
0.715  |  98.6692
0.736  |  98.8593
0.759  |  99.2395
0.797  |  99.2395
0.817  |  98.8593
0.828  |  98.4791
0.880  |  98.4791
0.894  |  98.8593
0.924  |  99.4297
0.950  |  99.4297
0.975  |  98.8593
1.015  |  95.6274
1.057  |  89.1635
1.097  |  80.9886
1.130  |  73.7643
1.163  |  67.1103
1.200  |  60.4563
1.400  |  40.0000
1.600  |   0.0000
1.700  |   0.0000
