# SPECTRE bk7 no. 2 prism dummy data, see Issue #83.
# Wavelength | efficiency.


0.250   |    0.0000
0.300   |    0.0000
0.316   |    0.7220
0.318   |    3.2491
0.323   |    9.2058
0.327   |   17.5090
0.332   |   36.8231
0.335   |   37.1841
0.337   |   27.0758
0.340   |   17.1480
0.344   |   12.4549
0.351   |   10.4693
0.356   |   11.9134
0.365   |   18.7726
0.372   |   31.9495
0.376   |   44.2238
0.379   |   60.4693
0.383   |   73.2852
0.386   |   85.5596
0.390   |   97.4729
0.396   |   99.2780
0.405   |   98.1949
0.412   |   98.1949
0.420   |   98.7365
0.430   |   98.7365
0.441   |   97.8339
0.455   |   98.1949
0.474   |   99.0975
0.504   |   98.1949
0.527   |   98.9170
0.564   |   98.5560
0.606   |   98.5560
0.633   |   99.0975
0.649   |   98.9170
0.683   |   98.5560
0.718   |   98.3755
0.747   |   99.0975
0.809   |   98.9170
0.841   |   98.3755
0.875   |   98.5560
0.905   |   98.9170
0.934   |   99.4585
0.966   |   99.2780
0.997   |   97.6534
1.023   |   95.1264
1.046   |   91.6968
1.093   |   82.4910
1.138   |   72.5632
1.178   |   64.6209
1.200   |   60.8303
1.400   |   40.0000
1.600   |    0.0000
1.700   |    0.0000
