# SPECTRE Corning 9754 prism dummy data, see Issue #81.
# Wavelength | efficiency.

2.100  |   0.0000
2.200  |  80.0000
2.248  |  90.0000
2.275  |  93.5793
2.314  |  96.2177
2.342  |  97.5461
2.375  |  98.2103
2.427  |  98.5055
2.499  |  98.4871
2.565  |  98.5793
2.626  |  98.7454
2.701  |  98.9483
2.767  |  99.059
2.913  |  99.1328
3.012  |  99.1513
3.120  |  99.2804
3.217  |  99.3727
3.346  |  99.4096
3.473  |  99.4465
3.592  |  99.428
3.716  |  99.3727
3.832  |  99.3911
3.967  |  99.4834
4.078  |  99.5756
4.183  |  99.6494
4.274  |  99.5572
4.345  |  99.3911
4.409  |  99.1513
4.497  |  98.6531
4.577  |  97.786
4.663  |  96.5129
4.729  |  95.3321
4.795  |  93.9668
4.873  |  92.1218
4.944  |  89.9815
5.000  |  70.0000
5.100  |   0.0000
