# SPECTRE fused silica prism dummy data, see Issue #85.
# Wavelength | efficiency.

0.820  |   0.0000
0.825  |   0.0000
0.830  |  50.0000
0.835  |  90.0000
0.838  |  92.9907
0.848  |  97.7944
0.853  |  97.0654
0.868  |  97.1215
0.878  |  98.1682
0.890  |  98.4486
0.910  |  98.2056
0.927  |  98.5047
0.951  |  98.9346
0.988  |  98.7850
1.008  |  99.0280
1.031  |  99.1963
1.051  |  99.0093
1.083  |  98.8224
1.110  |  99.0093
1.140  |  99.1776
1.176  |  98.9907
1.214  |  98.8598
1.261  |  99.1215
1.298  |  99.2150
1.335  |  99.1402
1.372  |  99.0841
1.426  |  99.2710
1.481  |  99.4766
1.528  |  99.3645
1.590  |  99.2523
1.651  |  99.3645
1.720  |  99.5327
1.812  |  99.3458
1.891  |  99.1589
1.980  |  99.3832
2.052  |  99.5327
2.111  |  99.3832
2.181  |  99.0654
2.238  |  98.9720
2.294  |  99.1028
2.346  |  99.4019
2.396  |  99.6075
2.430  |  99.3645
2.463  |  98.6729
2.495  |  97.4019
2.516  |  96.0561
2.537  |  94.5607
2.549  |  93.1776
2.568  |  91.1402
2.581  |  90.0000
2.600  |  66.0000
2.650  |  33.0000
2.700  |   0.0000
2.800  |   0.0000
