# SPECTRE ZnSe prism dummy data, see Issue #86.
# Wavelength | efficiency.

0.839  |  0.900190
0.843  |  0.929658
0.853  |  0.976996
0.864  |  0.971673
0.874  |  0.974715
0.883  |  0.978137
0.894  |  0.981559
0.918  |  0.979087
0.933  |  0.982319
0.949  |  0.988403
0.976  |  0.990684
1.001  |  0.990114
1.017  |  0.990494
1.059  |  0.991445
1.097  |  0.989354
1.142  |  0.988973
1.189  |  0.989544
1.272  |  0.989163
1.310  |  0.990114
1.365  |  0.992015
1.432  |  0.993916
1.493  |  0.993726
1.533  |  0.994106
1.570  |  0.994677
1.655  |  0.996198
1.713  |  0.996008
1.776  |  0.994487
1.823  |  0.993726
1.871  |  0.993916
1.909  |  0.994487
1.967  |  0.995627
2.032  |  0.995247
2.099  |  0.992015
2.155  |  0.989354
2.195  |  0.988213
2.232  |  0.988403
2.297  |  0.990875
2.340  |  0.993156
2.373  |  0.994677
2.412  |  0.993916
2.441  |  0.990875
2.470  |  0.984981
2.498  |  0.975095
2.528  |  0.960266
2.555  |  0.941065
2.576  |  0.921483
2.600  |  0.902471
