# SPECTRE mid-IR relay mirror dummy data, see Issue #87.
# Wavelength | efficiency.

2.000  |    0.0000
2.125  |    0.0000
2.151  |   89.9632
2.156  |   91.6912
2.167  |   94.9081
2.173  |   97.2059
2.186  |   98.6765
2.214  |   99.2831
2.244  |   99.3934
2.266  |   99.2463
2.272  |   98.8971
2.280  |   98.2904
2.285  |   96.6176
2.299  |   93.0515
2.305  |   96.5809
2.321  |   98.6029
2.343  |   99.8713
2.379  |   99.9449
2.475  |   99.9816
2.558  |  100.0000
2.659  |   99.9632
2.736  |   99.9449
2.833  |   99.9265
2.915  |   99.9449
2.956  |   99.8529
2.987  |   99.9081
3.017  |   99.9816
3.066  |   99.9816
3.157  |   99.9816
3.295  |   99.9265
3.424  |   99.9816
3.638  |   99.9816
3.935  |  100.0000
4.194  |   99.9816
4.381  |   99.9081
4.494  |   99.6324
4.535  |   98.8971
4.590  |   98.2537
4.664  |   98.6581
4.727  |   98.8235
4.826  |   98.7316
4.923  |   98.4191
5.000  |   97.9412
5.500  |   50.0000
6.000  |    0.0000
7.000  |    0.0000
