# SPECTRE near-IR relay mirror dummy data, see Issue #88.
# Wavelength | efficiency.


0.700   |   0.000000
0.750   |   0.000000
0.800   |   0.995547
0.803   |   0.998145
0.821   |   0.999629
0.831   |   0.997774
0.838   |   0.999072
0.851   |   0.999443
0.863   |   0.996846
0.868   |   0.999258
0.880   |   0.999443
0.941   |   0.999629
0.986   |   0.999814
1.001   |   0.998145
1.018   |   0.999443
1.033   |   0.997959
1.040   |   0.999814
1.070   |   0.999814
1.090   |   0.998887
1.108   |   0.999629
1.168   |   0.999814
1.181   |   0.998887
1.196   |   0.999629
1.250   |   0.999443
1.266   |   0.997774
1.280   |   0.998887
1.298   |   0.999443
1.363   |   0.997403
1.415   |   0.999258
1.461   |   0.999443
1.498   |   0.999072
1.525   |   0.998887
1.571   |   0.998887
1.610   |   0.999629
1.671   |   0.999443
1.761   |   0.999258
1.801   |   0.999814
1.918   |   0.999814
1.973   |   0.999072
2.003   |   0.998887
2.038   |   0.999258
2.091   |   0.999443
2.126   |   0.999443
2.176   |   0.999072
2.208   |   0.999072
2.246   |   0.998887
2.290   |   0.998701
2.338   |   0.999629
2.445   |   0.999629
2.528   |   0.999258
2.601   |   0.998887
2.700   |   0.990000
2.750   |   0.000000
2.800   |   0.000000
