# SPECTRE visible relay mirror dummy data, see Issue #40.
# Wavelength | efficiency.

0.300  |    2.3897
0.310  |    3.6765
0.318  |    1.2868
0.321  |    4.9632
0.323  |   15.0735
0.325  |   20.5882
0.330  |   15.6250
0.336  |    7.5368
0.341  |   13.2353
0.344  |   30.1471
0.348  |   49.8162
0.351  |   76.4706
0.358  |   65.4412
0.363  |   69.8529
0.365  |   72.6103
0.368  |   78.3088
0.373  |   65.0735
0.379  |   12.8676
0.384  |   16.5441
0.385  |   58.2721
0.387  |   69.8529
0.391  |   99.6324
0.477  |   99.8162
0.512  |   99.8162
0.520  |   99.2647
0.531  |   99.4485
0.536  |  100.0000
0.567  |  100.0000
0.572  |   98.8971
0.578  |  100.0000
0.649  |  100.0000
0.657  |   98.8971
0.664  |   99.0809
0.669  |  100.0000
0.732  |   99.8162
0.737  |   99.0809
0.747  |   99.2647
0.755  |  100.0000
0.795  |   99.8162
0.802  |   99.2647
0.809  |   99.2647
0.813  |  100.0000
0.860  |  100.0000
0.864  |   99.2647
0.877  |   99.0809
0.883  |  100.0000
0.901  |  100.0000
0.908  |   99.4485
0.921  |   98.8971
0.926  |  100.0000
0.937  |   99.8162
0.977  |   99.6324
1.002  |   99.0809
1.014  |   97.9779
1.020  |   96.3235
1.029  |   96.5074
1.036  |   93.9338
1.043  |   90.4412
1.047  |   83.2721
1.048  |   68.5662
1.055  |   54.0441
1.060  |   61.2132
1.066  |   68.1985
1.073  |   63.9706
1.074  |   55.3309
1.076  |   47.0588
1.078  |   33.8235
1.083  |   27.0221
1.086  |   46.8750
1.090  |   69.1176
1.097  |   83.2721
1.101  |   87.1324
1.104  |   89.5221
1.114  |   89.5221
1.119  |   86.9485
1.127  |   78.1250
1.132  |   59.3750
1.136  |   42.4632
1.143  |   21.6912
1.149  |   40.6250
1.152  |   50.7353
1.161  |   56.6176
1.169  |   50.9191
1.175  |   39.7059
1.184  |   32.9044
1.200  |   47.9779
