Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1- 13  E13.8      ---    wavelength  [0.0/0.01] Description of wavelength
 15- 27  E13.8  W.sr-1.m-3 za0_pwv0.5  [0.0/343768.13] Description of za0_pwv0.5
 29- 41  E13.8  W.sr-1.m-3 za0_pwv1.0  [0.0/343768.23] Description of za0_pwv1.0
 43- 55  E13.8  W.sr-1.m-3 za0_pwv2.0  [0.0/343768.44] Description of za0_pwv2.0
 57- 69  E13.8  W.sr-1.m-3 za0_pwv3.0  [0.0/343768.64] Description of za0_pwv3.0
 71- 83  E13.8  W.sr-1.m-3 za30_pwv0.5 [0.0/343966.4] Description of za30_pwv0.5
 85- 97  E13.8  W.sr-1.m-3 za30_pwv1.0 [0.0/343966.46] Description of
                                  za30_pwv1.0
 99-111  E13.8  W.sr-1.m-3 za30_pwv2.0 [0.0/343966.6] Description of za30_pwv2.0
113-125  E13.8  W.sr-1.m-3 za30_pwv3.0 [0.0/343966.74] Description of
                                  za30_pwv3.0
127-139  E13.8  W.sr-1.m-3 za45_pwv0.5 [0.0/344136.7] Description of za45_pwv0.5
141-153  E13.8  W.sr-1.m-3 za45_pwv1.0 [0.0/344136.74] Description of
                                  za45_pwv1.0
155-167  E13.8  W.sr-1.m-3 za45_pwv2.0 [0.0/344136.81] Description of
                                  za45_pwv2.0
169-181  E13.8  W.sr-1.m-3 za45_pwv3.0 [0.0/344136.88] Description of
                                  za45_pwv3.0
183-195  E13.8  W.sr-1.m-3 za60_pwv0.5 [0.0/344254.3] Description of za60_pwv0.5
197-209  E13.8  W.sr-1.m-3 za60_pwv1.0 [0.0/344254.31] Description of
                                  za60_pwv1.0
211-223  E13.8  W.sr-1.m-3 za60_pwv2.0 [0.0/344254.33] Description of
                                  za60_pwv2.0
225-237  E13.8  W.sr-1.m-3 za60_pwv3.0 [0.0/344254.35] Description of
                                  za60_pwv3.0
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
3.0000000e-07 8.9900105e-62 8.9904370e-62 8.9912819e-62 8.9921273e-62 1.0324867e-61 1.0325346e-61 1.0326306e-61 1.0327262e-61 1.2531880e-61 1.2532450e-61 1.2533582e-61 1.2534706e-61 1.7369172e-61 1.7369914e-61 1.7371396e-61 1.7372870e-61
3.0030000e-07 1.0348083e-61 1.0348574e-61 1.0349546e-61 1.0350519e-61 1.1885214e-61 1.1885764e-61 1.1886869e-61 1.1887970e-61 1.4427025e-61 1.4427681e-61 1.4428985e-61 1.4430278e-61 1.9999736e-61 2.0000590e-61 2.0002297e-61 2.0003995e-61
3.0060030e-07 1.1770060e-61 1.1770620e-61 1.1771729e-61 1.1772838e-61 1.3519348e-61 1.3519975e-61 1.3521236e-61 1.3522492e-61 1.6412528e-61 1.6413277e-61 1.6414765e-61 1.6416241e-61 2.2757997e-61 2.2758972e-61 2.2760922e-61 2.2762860e-61
3.0090090e-07 1.3290150e-61 1.3290788e-61 1.3292050e-61 1.3293314e-61 1.5266505e-61 1.5267220e-61 1.5268656e-61 1.5270087e-61 1.8535910e-61 1.8536764e-61 1.8538459e-61 1.8540141e-61 2.5709512e-61 2.5710625e-61 2.5712849e-61 2.5715061e-61
3.0120180e-07 1.4926223e-61 1.4926937e-61 1.4928352e-61 1.4929767e-61 1.7147218e-61 1.7148019e-61 1.7149628e-61 1.7151230e-61 2.0822107e-61 2.0823064e-61 2.0824963e-61 2.0826848e-61 2.8888895e-61 2.8890143e-61 2.8892637e-61 2.8895117e-61
3.0150300e-07 1.6926338e-61 1.6927171e-61 1.6928822e-61 1.6930473e-61 1.9446194e-61 1.9447130e-61 1.9449009e-61 1.9450880e-61 2.3616315e-61 2.3617433e-61 2.3619653e-61 2.3621857e-61 3.2773427e-61 3.2774889e-61 3.2777811e-61 3.2780716e-61
3.0180451e-07 1.9484719e-61 1.9485658e-61 1.9487518e-61 1.9489379e-61 2.2386417e-61 2.2387471e-61 2.2389588e-61 2.2391696e-61 2.7189017e-61 2.7190277e-61 2.7192777e-61 2.7195258e-61 3.7737511e-61 3.7739156e-61 3.7742443e-61 3.7745713e-61
3.0210631e-07 2.2465791e-61 2.2466875e-61 2.2469021e-61 2.2471169e-61 2.5812510e-61 2.5813726e-61 2.5816169e-61 2.5818602e-61 3.1352292e-61 3.1353746e-61 3.1356633e-61 3.1359497e-61 4.3522738e-61 4.3524638e-61 4.3528436e-61 4.3532212e-61
3.0240842e-07 2.5599143e-61 2.5600376e-61 2.5602820e-61 2.5605265e-61 2.9414189e-61 2.9415574e-61 2.9418355e-61 2.9421125e-61 3.5730098e-61 3.5731754e-61 3.5735042e-61 3.5738304e-61 4.9609688e-61 4.9611853e-61 4.9616180e-61 4.9620483e-61
3.0271083e-07 2.8891034e-61 2.8892426e-61 2.8895185e-61 2.8897945e-61 3.3198689e-61 3.3200253e-61 3.3203393e-61 3.3206521e-61 4.0331309e-61 4.0333179e-61 4.0336891e-61 4.0340575e-61 5.6010934e-61 5.6013380e-61 5.6018270e-61 5.6023132e-61
3.0301354e-07 3.2352539e-61 3.2354099e-61 3.2357191e-61 3.2360283e-61 3.7178765e-61 3.7180518e-61 3.7184037e-61 3.7187542e-61 4.5171474e-61 4.5173570e-61 4.5177732e-61 4.5181861e-61 6.2748258e-61 6.2751002e-61 6.2756487e-61 6.2761940e-61
3.0331655e-07 3.6437603e-61 3.6439350e-61 3.6442811e-61 3.6446274e-61 4.1875623e-61 4.1877585e-61 4.1881526e-61 4.1885451e-61 5.0882931e-61 5.0885279e-61 5.0889940e-61 5.0894565e-61 7.0697207e-61 7.0700281e-61 7.0706424e-61 7.0712534e-61
3.0361987e-07 4.1703736e-61 4.1705737e-61 4.1709700e-61 4.1713665e-61 4.7929653e-61 4.7931901e-61 4.7936413e-61 4.7940909e-61 5.8243153e-61 5.8245842e-61 5.8251181e-61 5.8256479e-61 8.0935933e-61 8.0939455e-61 8.0946496e-61 8.0953498e-61
3.0392349e-07 4.8275480e-61 4.8277794e-61 4.8282377e-61 4.8286963e-61 5.5484138e-61 5.5486738e-61 5.5491957e-61 5.5497156e-61 6.7426559e-61 6.7429670e-61 6.7435845e-61 6.7441973e-61 9.3707767e-61 9.3711842e-61 9.3719988e-61 9.3728088e-61
3.0422741e-07 5.5718165e-61 5.5720824e-61 5.5726093e-61 5.5731364e-61 6.4040264e-61 6.4043253e-61 6.4049253e-61 6.4055229e-61 7.7828514e-61 7.7832091e-61 7.7839190e-61 7.7846234e-61 1.0817719e-60 1.0818188e-60 1.0819125e-60 1.0820056e-60
3.0453164e-07 6.3074439e-61 6.3077448e-61 6.3083409e-61 6.3089374e-61 7.2498716e-61 7.2502098e-61 7.2508888e-61 7.2515652e-61 8.8115093e-61 8.8119141e-61 8.8127177e-61 8.8135150e-61 1.2249659e-60 1.2250189e-60 1.2251250e-60 1.2252305e-60
3.0483617e-07 7.0258005e-61 7.0261360e-61 7.0268007e-61 7.0274657e-61 8.0760409e-61 8.0764181e-61 8.0771752e-61 8.0779295e-61 9.8166075e-61 9.8170591e-61 9.8179554e-61 9.8188448e-61 1.3649944e-60 1.3650536e-60 1.3651720e-60 1.3652897e-60
3.0514100e-07 7.8211901e-61 7.8215633e-61 7.8223025e-61 7.8230421e-61 8.9908288e-61 8.9912483e-61 8.9920905e-61 8.9929294e-61 1.0929566e-60 1.0930068e-60 1.0931065e-60 1.0932055e-60 1.5200650e-60 1.5201309e-60 1.5202627e-60 1.5203938e-60
3.0544615e-07 8.7477481e-61 8.7481656e-61 8.7489925e-61 8.7498199e-61 1.0056448e-60 1.0056917e-60 1.0057859e-60 1.0058798e-60 1.2225975e-60 1.2226537e-60 1.2227653e-60 1.2228760e-60 1.7006796e-60 1.7007534e-60 1.7009010e-60 1.7010477e-60
3.0575159e-07 1.0131510e-60 1.0131993e-60 1.0132950e-60 1.0133908e-60 1.1647515e-60 1.1648059e-60 1.1649149e-60 1.1650236e-60 1.4160878e-60 1.4161529e-60 1.4162821e-60 1.4164103e-60 1.9700138e-60 1.9700993e-60 1.9702702e-60 1.9704401e-60
3.0605734e-07 1.1656825e-60 1.1657380e-60 1.1658481e-60 1.1659582e-60 1.3401452e-60 1.3402077e-60 1.3403331e-60 1.3404581e-60 1.6294069e-60 1.6294817e-60 1.6296303e-60 1.6297778e-60 2.2670183e-60 2.2671166e-60 2.2673132e-60 2.2675086e-60
